1|
-1|3 28 3 3 24 3 3 21 3 3 16 3 4 3 19 3 3 3 24 4 8 7 24 4 4 20 4 4 16 4 4 15 4 11 3 
1|8 7 9 8 9 12 15 3 19 3 17 4 17 18 5 16 3 3 17 7 9 4 5 3 10 3 16 3 17 4 17 3 22 3 28 3 29 3 6 4 10 3 16 4 17 3 18 4 22 3 28 4 29 
-1|3 7 3 4 17 4 3 3 3 12 3 12 5 5 10 6 7 9 8 8 7 12 25 
1|6 3 30 27 27 12 4 7 3 21 20 24 15 3 20 27 27 24 22 4 19 9 
-1|14 3 4 24 4 
1|
-1|26 9 9 9 8 9 9 15 15 15 16 15 15 16 16 16 15 15 16 24 21 20 16 8 15 28 20 12 4 12 5 5 5 9 
1|
-1|28 3 3 24 3 3 21 3 3 16 3 
1|
-1|3 17 4 3 8 9 12 19 9 9 12 15 9 9 12 12 9 9 12 7 9 12 12 12 8 9 9 12 12 12 9 9 16 8 
1|3 5 3 9 15 5 15 5 15 7 15 6 15 5 15 7 27 27 28 28 28 28 9 9 7 8 8 9 9 12 4 22 15 9 3 29 21 8 16 19 28 27 27 23 27 3 27 26 32 15 6 15 13 8 11 9 12 7 8 7 9 12 15 
-1|
1|16 24 9 8 9 8 12 15 9 15 9 12 20 
-1|
1|3 21 15 3 9 8 21 20 17 10 12 21 12 8 9 5 4 16 14 3 18 3 21 3 24 3 15 9 17 15 10 9 7 9 15 2 15 5 
-1|
1|
-1|
1|
-1|
1|
-1|
1|
-1|
1|
-1|
1|15 
-1|
1|20 19 9 9 16 14 3 
-1|
1|
-1|
1|
-1|
1|10 15 6 16 
-1|
1|5 9 9 15 21 16 5 20 16 2 16 5 7 9 18 3 
-1|
1|17 21 12 15 20 3 18 7 13 5 9 6 15 4 15 
-1|
1|
-1|12 
1|
-1|5 4 5 4 5 4 4 6 4 6 4 6 4 8 
1|
-1|12 3 4 
1|
-1|12 
1|
-1|16 3 12 4 8 5 5 3 3 8 
1|
-1|3 9 
1|
-1|7 9 
1|4 7 12 3 8 24 12 3 12 15 9 7 4 15 5 16 8 7 4 15 5 15 9 6 4 15 5 15 12 16 17 9 15 16 5 16 8 7 4 15 5 16 8 7 3 15 6 16 8 7 3 14 21 27 21 16 4 15 5 15 5 26 5 4 28 9 24 32 21 20 2 18 20 7 24 27 15 6 9 17 9 20 7 9 3 5 3 7 3 5 17 21 9 8 9 8 3 9 4 5 12 6 9 6 3 9 8 6 15 4 16 10 3 3 6 8 10 6 2 16 21 18 20 6 3 19 5 16 14 4 12 4 8 8 9 8 9 8 9 8 24 8 9 8 9 8 9 8 20 9 9 9 7 9 9 9 20 9 9 9 7 9 9 9 23 9 8 9 9 9 8 9 23 9 8 9 9 9 8 9 24 16 15 16 8 16 15 16 24 16 15 16 8 16 15 16 27 8 9 8 7 8 9 8 27 8 9 8 7 8 9 8 26 9 9 9 8 9 9 9 26 9 9 9 8 9 9 9 28 9 9 9 7 9 9 9 28 9 9 9 7 9 9 9 26 9 9 9 8 9 9 9 26 9 9 9 8 9 9 9 28 9 9 9 7 9 9 9 28 9 9 9 7 9 9 9 26 15 15 15 9 15 15 15 26 15 15 15 9 15 15 15 27 16 15 16 8 16 15 16 27 16 15 16 8 16 15 16 20 16 15 16 7 16 15 16 20 16 15 16 7 16 15 16 18 9 9 9 2 9 9 9 18 9 9 9 2 9 9 9 16 3 3 3 7 3 3 3 16 3 3 3 7 3 3 3 14 3 3 3 4 3 3 3 14 3 3 3 4 3 3 3 15 9 9 9 3 9 9 9 15 9 9 9 3 9 9 9 17 9 8 9 3 9 8 9 17 9 8 9 3 9 8 9 15 9 9 9 2 9 9 9 17 9 9 9 2 9 9 9 9 15 15 15 15 15 15 15 9 15 15 15 15 15 15 15 9 9 9 9 15 9 9 9 9 9 9 9 15 9 9 9 20 9 9 9 2 9 9 9 20 9 9 9 2 9 9 9 23 9 9 9 9 9 9 9 23 9 9 9 9 9 9 9 24 9 9 9 9 9 9 9 24 9 9 9 9 9 9 9 25 9 9 9 9 9 9 9 25 9 9 9 9 9 9 9 9 9 9 9 9 8 9 9 9 8 9 9 8 9 8 7 20 20 20 20 21 20 21 21 20 20 20 20 20 21 20 21 8 9 8 9 9 9 9 9 9 9 9 8 9 9 9 7 9 9 9 3 15 15 15 4 15 15 15 3 15 15 15 3 9 9 9 15 3 3 3 16 3 3 3 15 3 3 3 12 4 
-1|
1|
-1|8 
1|
-1|3 
1|
-1|7 
1|36 
-1|
